x0000,y0000
419,-1.441955566e-05,
420,-1.441955566e-05,
421,-1.441955566e-05,
422,-1.441955566e-05,
423,-1.441955566e-05,
424,-1.441955566e-05,
425,-1.441955566e-05,
426,-1.441955566e-05,
427,-1.441955566e-05,
428,-1.441955566e-05,
429,-1.907348633e-05,
430,-1.907348633e-05,
431,-1.907348633e-05,
432,-1.907348633e-05,
433,-1.907348633e-05,
434,-1.907348633e-05,
435,-1.907348633e-05,
436,-1.907348633e-05,
437,-1.907348633e-05,
438,-1.907348633e-05,
439,-1.907348633e-05,
440,-1.907348633e-05,
441,-1.907348633e-05,
442,-1.907348633e-05,
443,-2.03704834e-05,
444,-2.03704834e-05,
445,-2.03704834e-05,
446,-2.03704834e-05,
447,-2.03704834e-05,
448,-2.03704834e-05,
449,-2.03704834e-05,
450,-2.03704834e-05,
451,-2.03704834e-05,
452,-2.03704834e-05,
453,-2.03704834e-05,
454,-2.03704834e-05,
455,-2.03704834e-05,
456,-3.238677979e-05,
457,-3.238677979e-05,
458,-3.238677979e-05,
459,-3.238677979e-05,
460,-3.238677979e-05,
461,-3.238677979e-05,
462,-3.238677979e-05,
463,-3.238677979e-05,
464,-3.238677979e-05,
465,-3.238677979e-05,
466,-3.238677979e-05,
467,-3.238677979e-05,
468,-3.238677979e-05,
469,-4.47845459e-05,
470,-4.47845459e-05,
471,-4.47845459e-05,
472,-4.47845459e-05,
473,-4.47845459e-05,
474,-4.47845459e-05,
475,-4.47845459e-05,
476,-4.47845459e-05,
477,-4.47845459e-05,
478,-4.47845459e-05,
479,-4.47845459e-05,
480,-4.47845459e-05,
481,-4.47845459e-05,
482,-4.375457764e-05,
483,-4.375457764e-05,
484,-4.375457764e-05,
485,-4.375457764e-05,
486,-4.375457764e-05,
487,-4.375457764e-05,
488,-4.375457764e-05,
489,-4.375457764e-05,
490,-4.375457764e-05,
491,-4.375457764e-05,
492,-4.375457764e-05,
493,-4.375457764e-05,
494,-4.375457764e-05,
495,-3.524780273e-05,
496,-3.524780273e-05,
497,-3.524780273e-05,
498,-3.524780273e-05,
499,-3.524780273e-05,
500,-3.524780273e-05,
501,-3.524780273e-05,
502,-3.524780273e-05,
503,-3.524780273e-05,
504,-3.524780273e-05,
505,-3.524780273e-05,
506,-3.524780273e-05,
507,-3.524780273e-05,
508,-4.058837891e-05,
509,-4.058837891e-05,
510,-4.058837891e-05,
511,-4.058837891e-05,
512,-4.058837891e-05,
513,-4.058837891e-05,
514,-4.058837891e-05,
515,-4.058837891e-05,
516,-4.058837891e-05,
517,-4.058837891e-05,
518,-4.058837891e-05,
519,-4.058837891e-05,
520,-4.058837891e-05,
521,-4.936218262e-05,
522,-4.936218262e-05,
523,-4.936218262e-05,
524,-4.936218262e-05,
525,-4.936218262e-05,
526,-4.936218262e-05,
527,-4.936218262e-05,
528,-4.936218262e-05,
529,-4.936218262e-05,
530,-4.936218262e-05,
531,-4.936218262e-05,
532,-4.936218262e-05,
533,-4.936218262e-05,
534,-7.522583008e-05,
535,-7.522583008e-05,
536,-7.522583008e-05,
537,-7.522583008e-05,
538,-7.522583008e-05,
539,-7.522583008e-05,
540,-7.522583008e-05,
541,-7.522583008e-05,
542,-7.522583008e-05,
543,-7.522583008e-05,
544,-7.522583008e-05,
545,-7.522583008e-05,
546,-7.522583008e-05,
547,-7.507324219e-05,
548,-7.507324219e-05,
549,-7.507324219e-05,
550,-7.507324219e-05,
551,-7.507324219e-05,
552,-7.507324219e-05,
553,-7.507324219e-05,
554,-7.507324219e-05,
555,-7.507324219e-05,
556,-7.507324219e-05,
557,-7.507324219e-05,
558,-7.507324219e-05,
559,-7.507324219e-05,
560,-9.395599365e-05,
561,-9.395599365e-05,
562,-9.395599365e-05,
563,-9.395599365e-05,
564,-9.395599365e-05,
565,-9.395599365e-05,
566,-9.395599365e-05,
567,-9.395599365e-05,
568,-9.395599365e-05,
569,-9.395599365e-05,
570,-9.395599365e-05,
571,-9.395599365e-05,
572,-9.395599365e-05,
573,-0.0001274108887,
574,-0.0001274108887,
575,-0.0001274108887,
576,-0.0001274108887,
577,-0.0001274108887,
578,-0.0001274108887,
579,-0.0001274108887,
580,-0.0001274108887,
581,-0.0001274108887,
582,-0.0001274108887,
583,-0.0001274108887,
584,-0.0001274108887,
585,-0.0001274108887,
586,-0.0001806640625,
587,-0.0001806640625,
588,-0.0001806640625,
589,-0.0001806640625,
590,-0.0001806640625,
591,-0.0001806640625,
592,-0.0001806640625,
593,-0.0001806640625,
594,-0.0001806640625,
595,-0.0001806640625,
596,-0.0001806640625,
597,-0.0001806640625,
598,-0.0001806640625,
599,-0.0002241897583,
600,-0.0002241897583,
601,-0.0002241897583,
602,-0.0002241897583,
603,-0.0002241897583,
604,-0.0002241897583,
605,-0.0002241897583,
606,-0.0002241897583,
607,-0.0002241897583,
608,-0.0002241897583,
609,-0.0002241897583,
610,-0.0002241897583,
611,-0.0002241897583,
612,-0.0002891921997,
613,-0.0002891921997,
614,-0.0002891921997,
615,-0.0002891921997,
616,-0.0002891921997,
617,-0.0002891921997,
618,-0.0002891921997,
619,-0.0002891921997,
620,-0.0002891921997,
621,-0.0002891921997,
622,-0.0002891921997,
623,-0.0002891921997,
624,-0.0002891921997,
625,-0.0003552627563,
626,-0.0003552627563,
627,-0.0003552627563,
628,-0.0003552627563,
629,-0.0003552627563,
630,-0.0003552627563,
631,-0.0003552627563,
632,-0.0003552627563,
633,-0.0003552627563,
634,-0.0003552627563,
635,-0.0003552627563,
636,-0.0003552627563,
637,-0.0003552627563,
638,-0.0005229949951,
639,-0.0005229949951,
640,-0.0005229949951,
641,-0.0005229949951,
642,-0.0005229949951,
643,-0.0005229949951,
644,-0.0005229949951,
645,-0.0005229949951,
646,-0.0005229949951,
647,-0.0005229949951,
648,-0.0005229949951,
649,-0.0005229949951,
650,-0.0005229949951,
651,-0.0006244659424,
652,-0.0006244659424,
653,-0.0006244659424,
654,-0.0006244659424,
655,-0.0006244659424,
656,-0.0006244659424,
657,-0.0006244659424,
658,-0.0006244659424,
659,-0.0006244659424,
660,-0.0006244659424,
661,-0.0006244659424,
662,-0.0006244659424,
663,-0.0006244659424,
664,-0.0006999969482,
665,-0.0006999969482,
666,-0.0006999969482,
667,-0.0006999969482,
668,-0.0006999969482,
669,-0.0006999969482,
670,-0.0006999969482,
671,-0.0006999969482,
672,-0.0006999969482,
673,-0.0006999969482,
674,-0.0006999969482,
675,-0.0006999969482,
676,-0.0006999969482,
677,-0.0007461547852,
678,-0.0007461547852,
679,-0.0007461547852,
680,-0.0007461547852,
681,-0.0007461547852,
682,-0.0007461547852,
683,-0.0007461547852,
684,-0.0007461547852,
685,-0.0007461547852,
686,-0.0007461547852,
687,-0.0007461547852,
688,-0.0007461547852,
689,-0.0007461547852,
690,-0.0001126480103,
691,-0.0001126480103,
692,-0.0001126480103,
693,-0.0001126480103,
694,-0.0001126480103,
695,-0.0001126480103,
696,-0.0001126480103,
697,-0.0001126480103,
698,-0.0001126480103,
699,-0.0001126480103,
700,-0.0001126480103,
701,-0.0001126480103,
702,-0.0001126480103,
703,-5.249023437e-05,
704,-5.249023437e-05,
705,-5.249023437e-05,
706,-5.249023437e-05,
707,-5.249023437e-05,
708,-5.249023437e-05,
709,-5.249023437e-05,
710,-5.249023437e-05,
711,-5.249023437e-05,
712,-5.249023437e-05,
713,-5.249023437e-05,
714,-5.249023437e-05,
715,-5.249023437e-05,
716,-0.0001094818115,
717,-0.0001094818115,
718,-0.0001094818115,
719,-0.0001094818115,
720,-0.0001094818115,
721,-0.0001094818115,
722,-0.0001094818115,
723,-0.0001094818115,
724,-0.0001094818115,
725,-0.0001094818115,
726,-0.0001094818115,
727,-0.0001094818115,
728,-0.0001094818115,
729,-0.000340461731,
730,-0.000340461731,
731,-0.000340461731,
732,-0.000340461731,
733,-0.000340461731,
734,-0.000340461731,
735,-0.000340461731,
736,-0.000340461731,
737,-0.000340461731,
738,-0.000340461731,
739,-0.000340461731,
740,-0.000340461731,
741,-0.000340461731,
742,-0.000238494873,
743,-0.000238494873,
744,-0.000238494873,
745,-0.000238494873,
746,-0.000238494873,
747,-0.000238494873,
748,-0.000238494873,
749,-0.000238494873,
750,-0.000238494873,
751,-0.000238494873,
752,-0.000238494873,
753,-0.000238494873,
754,-0.000238494873,
755,-0.0001663970947,
756,-0.0001663970947,
