
#$Filter:none
842.0	0.000111465454102	-1.77459716797e-06	1511953742.9701643	
842.0	0.000111465454102	-1.77459716797e-06	1511953743.4703956	
953.0	0.000111465454102	-1.77459716797e-06	1511953743.9701347	
953.0	0.000111465454102	-1.77459716797e-06	1511953744.4719803	
1063.0	0.000111465454102	-1.77459716797e-06	1511953744.9701297	
1063.0	0.000111465454102	-1.77459716797e-06	1511953745.4701428	
1174.0	0.000111465454102	-1.77459716797e-06	1511953745.9701593	
1174.0	0.000111465454102	-1.77459716797e-06	1511953746.4716237	
1174.0	0.000120010375977	-1.87530517578e-06	1511953746.9701662	
1285.0	0.000120010375977	-1.87530517578e-06	1511953747.4701102	
1285.0	0.000120010375977	-1.87530517578e-06	1511953747.9701648	
1396.0	0.000120010375977	-1.87530517578e-06	1511953748.4701717	
1396.0	0.000120010375977	-1.87530517578e-06	1511953748.9701614	
1507.0	0.000120010375977	-1.87530517578e-06	1511953749.4701724	
1507.0	0.000120010375977	-1.87530517578e-06	1511953749.9702725	
1617.0	0.000120010375977	-1.87530517578e-06	1511953750.4701698	
1617.0	0.000120010375977	-1.87530517578e-06	1511953750.9702756	
1728.0	0.000120010375977	-1.87530517578e-06	1511953751.4701724	
1728.0	0.000120010375977	-1.87530517578e-06	1511953751.9703264	
1839.0	0.000120010375977	-1.87530517578e-06	1511953752.4701664	
1839.0	0.000120010375977	-1.87530517578e-06	1511953752.9703112	
1950.0	0.000116439819336	-2.23388671875e-06	1511953753.4701715	
1950.0	0.000116439819336	-2.23388671875e-06	1511953753.9702876	
2061.0	0.000116439819336	-2.23388671875e-06	1511953754.4702337	
2061.0	0.000116439819336	-2.23388671875e-06	1511953754.9703178	
2061.0	0.000116439819336	-2.23388671875e-06	1511953755.470304	
2171.0	0.000116439819336	-2.23388671875e-06	1511953755.970166	
2171.0	0.000116439819336	-2.23388671875e-06	1511953756.470325	
2282.0	0.000116439819336	-2.23388671875e-06	1511953756.9701645	
2282.0	0.000116439819336	-2.23388671875e-06	1511953757.4701748	
2393.0	0.000116439819336	-2.23388671875e-06	1511953757.9704406	
2393.0	0.000116439819336	-2.23388671875e-06	1511953758.4703226	
2504.0	0.000116439819336	-2.23388671875e-06	1511953758.9704332	
2504.0	0.000116439819336	-2.23388671875e-06	1511953759.4702094	
2504.0	0.000118209838867	-2.7214050293e-06	1511953759.9704747	
2504.0	0.000118209838867	-2.7214050293e-06	1511953760.4701493	
1279.0	0.000118209838867	-2.7214050293e-06	1511953760.9701757	
1279.0	0.000118209838867	-2.7214050293e-06	1511953761.4703596	
1279.0	0.000118209838867	-2.7214050293e-06	1511953761.970276	
1279.0	0.000118209838867	-2.7214050293e-06	1511953762.4702878	
1279.0	0.000118209838867	-2.7214050293e-06	1511953762.9702973	
1279.0	0.000118209838867	-2.7214050293e-06	1511953763.4704778	
1279.0	0.000118209838867	-2.7214050293e-06	1511953763.9703138	
1279.0	0.000118209838867	-2.7214050293e-06	1511953764.4701767	
1279.0	0.000118209838867	-2.7214050293e-06	1511953764.9703293	
1279.0	0.000118209838867	-2.7214050293e-06	1511953765.4702055	
1279.0	0.000118209838867	-2.7214050293e-06	1511953765.9702642	
1279.0	0.00011750793457	-2.82440185547e-06	1511953766.4702885	
1279.0	0.00011750793457	-2.82440185547e-06	1511953766.9703567	
1279.0	0.00011750793457	-2.82440185547e-06	1511953767.4701533	
1279.0	0.00011750793457	-2.82440185547e-06	1511953767.9701796	
1279.0	0.00011750793457	-2.82440185547e-06	1511953768.470176	
1279.0	0.00011750793457	-2.82440185547e-06	1511953768.9703102	
1279.0	0.00011750793457	-2.82440185547e-06	1511953769.4701695	
1279.0	0.00011750793457	-2.82440185547e-06	1511953769.9702814	
1279.0	0.00011750793457	-2.82440185547e-06	1511953770.4701703	
1279.0	0.00011750793457	-2.82440185547e-06	1511953770.9703186	
1279.0	0.00011750793457	-2.82440185547e-06	1511953771.4701734	
1279.0	0.00011750793457	-2.82440185547e-06	1511953771.9703195	
1279.0	0.00011750793457	-2.82440185547e-06	1511953772.4701777	
1279.0	0.000116607666016	-2.78854370117e-06	1511953772.9703236	
1279.0	0.000116607666016	-2.78854370117e-06	1511953773.4703171	
1279.0	0.000116607666016	-2.78854370117e-06	1511953773.970235	
1279.0	0.000116607666016	-2.78854370117e-06	1511953774.470278	
1279.0	0.000116607666016	-2.78854370117e-06	1511953774.9703267	
1279.0	0.000116607666016	-2.78854370117e-06	1511953775.4701538	
1279.0	0.000116607666016	-2.78854370117e-06	1511953775.9702785	
1279.0	0.000116607666016	-2.78854370117e-06	1511953776.4702857	
1279.0	0.000116607666016	-2.78854370117e-06	1511953776.9703236	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000115081787109	-2.45971679688e-06	1511953835.791374	
0.0	0.000115081787109	-2.45971679688e-06	1511953836.2915702	
0.0	0.000115081787109	-2.45971679688e-06	1511953836.7913675	
0.0	0.000115081787109	-2.45971679688e-06	1511953837.2913926	
0.0	0.000115081787109	-2.45971679688e-06	1511953837.7913837	
0.0	0.00012092590332	-2.1728515625e-06	1511953838.423579	
0.0	0.00012092590332	-2.1728515625e-06	1511953838.7913787	
0.0	0.00012092590332	-2.1728515625e-06	1511953839.2917337	
